timestamp,run_id,scenario,step,target,status,duration_sec,message
2026-07-22T16:01:12+09:00,20260722-160103,switch-to-onprem,external_health_after_switch,onprem,SUCCESS,1,"completed"
2026-07-22T16:01:12+09:00,20260722-160103,switch-to-onprem,total,switch-to-onprem,SUCCESS,9,"온프레미스 긴급 우회 완료"
2026-07-22T16:03:30+09:00,20260722-160330,switch-to-onprem,check_context,eks-a,SUCCESS,0,"completed"
2026-07-22T16:03:30+09:00,20260722-160330,provision-dr,check_onprem_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:03:31+09:00,20260722-160330,switch-to-onprem,check_context,kubernetes-admin@kubernetes,SUCCESS,1,"completed"
2026-07-22T16:03:31+09:00,20260722-160330,provision-dr,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,1,"completed"
2026-07-22T16:03:31+09:00,20260722-160330,switch-to-onprem,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:03:35+09:00,20260722-160330,provision-dr,terraform_init_02-eks,02-eks,SUCCESS,4,"completed"
2026-07-22T16:03:36+09:00,20260722-160330,switch-to-onprem,internal_health_before_switch,onprem,SUCCESS,4,"completed"
2026-07-22T16:03:39+09:00,20260722-160330,switch-to-onprem,activate_cloudflared,onprem,SUCCESS,3,"completed"
2026-07-22T16:03:42+09:00,20260722-160330,switch-to-onprem,deactivate_cloudflared,eks-a,SUCCESS,2,"completed"
2026-07-22T16:03:43+09:00,20260722-160330,switch-to-onprem,external_health_after_switch,onprem,SUCCESS,1,"completed"
2026-07-22T16:03:43+09:00,20260722-160330,switch-to-onprem,total,switch-to-onprem,SUCCESS,13,"온프레미스 긴급 우회 완료"
2026-07-22T16:03:44+09:00,20260722-160330,provision-dr,terraform_apply_02-eks,02-eks,SUCCESS,9,"completed"
2026-07-22T16:03:47+09:00,20260722-160330,provision-dr,update_kubeconfig,eks-b,SUCCESS,1,"completed"
2026-07-22T16:03:47+09:00,20260722-160330,provision-dr,check_eks_b_context,eks-b,SUCCESS,0,"completed"
2026-07-22T16:03:47+09:00,20260722-160330,provision-dr,check_eks_b_cluster,eks-b,SUCCESS,0,"completed"
2026-07-22T16:03:48+09:00,20260722-160330,provision-dr,wait_eks_b_nodes,eks-b,SUCCESS,1,"completed"
2026-07-22T16:03:52+09:00,20260722-160330,provision-dr,terraform_init_03-platform,03-platform,SUCCESS,4,"completed"
2026-07-22T16:04:24+09:00,20260722-160330,provision-dr,terraform_apply_03-platform,03-platform,SUCCESS,32,"completed"
2026-07-22T16:04:49+09:00,20260722-160330,provision-dr,terraform_init_04-eks-workloads,04-eks-workloads,SUCCESS,25,"completed"
2026-07-22T16:05:50+09:00,20260722-160330,provision-dr,terraform_apply_04-eks-workloads,04-eks-workloads,SUCCESS,61,"completed"
2026-07-22T16:06:13+09:00,20260722-160330,provision-dr,terraform_init_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,23,"completed"
2026-07-22T16:07:15+09:00,20260722-160330,provision-dr,terraform_apply_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,61,"completed"
2026-07-22T16:07:15+09:00,20260722-160330,provision-dr,wait_argocd_cluster_secret,onprem-argocd,SUCCESS,0,"completed"
2026-07-22T16:07:15+09:00,20260722-160330,provision-dr,apply_applicationsets,onprem-argocd,FAILED,0,"exit_code=1"
2026-07-22T16:07:15+09:00,20260722-160330,provision-dr,total,provision-dr,FAILED,225,"ApplicationSet 적용 실패"
2026-07-22T16:12:59+09:00,20260722-161259,switch-to-onprem,check_context,eks-a,SUCCESS,0,"completed"
2026-07-22T16:12:59+09:00,20260722-161259,provision-dr,check_onprem_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:12:59+09:00,20260722-161259,switch-to-onprem,check_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:12:59+09:00,20260722-161259,provision-dr,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:12:59+09:00,20260722-161259,switch-to-onprem,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-07-22T16:13:06+09:00,20260722-161259,switch-to-onprem,internal_health_before_switch,onprem,SUCCESS,4,"completed"
2026-07-22T16:13:06+09:00,20260722-161259,provision-dr,terraform_init_02-eks,02-eks,SUCCESS,7,"completed"
2026-07-22T16:13:06+09:00,20260722-161259,switch-to-onprem,activate_cloudflared,onprem,SUCCESS,0,"completed"
2026-07-22T16:13:09+09:00,20260722-161259,switch-to-onprem,deactivate_cloudflared,eks-a,SUCCESS,2,"completed"
2026-07-22T16:13:10+09:00,20260722-161259,switch-to-onprem,external_health_after_switch,onprem,SUCCESS,1,"completed"
2026-07-22T16:13:10+09:00,20260722-161259,switch-to-onprem,total,switch-to-onprem,SUCCESS,11,"온프레미스 긴급 우회 완료"
